# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	194752	198567	-	QNG14947.1			uncharacterized protein			GWK60_J01661	3816	1271	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	200653	200725	-							GWK60_J01683	73		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	200653	200725	-				tRNA-Lys			GWK60_J01683	73		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	201338	204946	+							GWK60_J01705	3609		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	201338	204946	+			QNG14948.1	uncharacterized protein			GWK60_J01705	3609		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	201338	204946	+	QNG14948.1			uncharacterized protein			GWK60_J01705	3609	1202	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	205690	208530	+							GWK60_J01727	2841		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	205690	208530	+			QNG14949.1	uncharacterized protein			GWK60_J01727	2841		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	205690	208530	+	QNG14949.1			uncharacterized protein			GWK60_J01727	2841	946	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	209035	213210	+					PAN1		GWK60_J01749	4176		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	209035	213210	+			QNG14950.1	PAN1	PAN1		GWK60_J01749	4176		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	209035	213210	+	QNG14950.1			PAN1	PAN1		GWK60_J01749	4176	1391	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	213384	213893	-							GWK60_J01771	510		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	213384	213893	-			QNG14951.1	uncharacterized protein			GWK60_J01771	510		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	213384	213893	-	QNG14951.1			uncharacterized protein			GWK60_J01771	510	169	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	214256	215533	-							GWK60_J01793	1278		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	214256	215533	-			QNG14952.1	uncharacterized protein			GWK60_J01793	1278		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	214256	215533	-	QNG14952.1			uncharacterized protein			GWK60_J01793	1278	425	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	215868	217973	-							GWK60_J01815	2106		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	215868	217973	-			QNG14953.1	uncharacterized protein			GWK60_J01815	2106		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	215868	217973	-	QNG14953.1			uncharacterized protein			GWK60_J01815	2106	701	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	218284	221406	+							GWK60_J01837	3123		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	218284	221406	+			QNG14954.1	uncharacterized protein			GWK60_J01837	3123		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	218284	221406	+	QNG14954.1			uncharacterized protein			GWK60_J01837	3123	1040	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	222264	223349	+							GWK60_J01859	1086		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	222264	223349	+			QNG14955.1	uncharacterized protein			GWK60_J01859	1086		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	222264	223349	+	QNG14955.1			uncharacterized protein			GWK60_J01859	1086	361	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	224840	226264	-							GWK60_J01881	1425		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	224840	226264	-			QNG14956.1	uncharacterized protein			GWK60_J01881	1425		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	224840	226264	-	QNG14956.1			uncharacterized protein			GWK60_J01881	1425	474	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	227060	227173	+							GWK60_J01903	114		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	227060	227173	+			QNG14957.1	uncharacterized protein			GWK60_J01903	114		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	227060	227173	+	QNG14957.1			uncharacterized protein			GWK60_J01903	114	37	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	228839	230965	+							GWK60_J01925	2127		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	228839	230965	+			QNG14958.1	uncharacterized protein			GWK60_J01925	2127		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	228839	230965	+	QNG14958.1			uncharacterized protein			GWK60_J01925	2127	708	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	231294	231713	-							GWK60_J01947	420		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	231294	231713	-			QNG14959.1	uncharacterized protein			GWK60_J01947	420		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	231294	231713	-	QNG14959.1			uncharacterized protein			GWK60_J01947	420	139	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	232057	232914	+							GWK60_J01969	858		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	232057	232914	+			QNG14960.1	uncharacterized protein			GWK60_J01969	858		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	232057	232914	+	QNG14960.1			uncharacterized protein			GWK60_J01969	858	285	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	233616	236471	-							GWK60_J01991	2856		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	233616	236471	-			QNG14961.1	uncharacterized protein			GWK60_J01991	2856		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	233616	236471	-	QNG14961.1			uncharacterized protein			GWK60_J01991	2856	951	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	237119	238621	+							GWK60_J02013	1503		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	237119	238621	+			QNG14962.1	uncharacterized protein			GWK60_J02013	1503		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	237119	238621	+	QNG14962.1			uncharacterized protein			GWK60_J02013	1503	500	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	239071	239505	-							GWK60_J02035	435		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	239071	239505	-			QNG14963.1	uncharacterized protein			GWK60_J02035	435		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	239071	239505	-	QNG14963.1			uncharacterized protein			GWK60_J02035	435	144	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	240801	241517	+							GWK60_J02057	717		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	240801	241517	+			QNG14964.1	uncharacterized protein			GWK60_J02057	717		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	240801	241517	+	QNG14964.1			uncharacterized protein			GWK60_J02057	717	238	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	241874	243163	-							GWK60_J02079	1290		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	241874	243163	-			QNG14965.1	uncharacterized protein			GWK60_J02079	1290		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	241874	243163	-	QNG14965.1			uncharacterized protein			GWK60_J02079	1290	429	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	244153	244910	-							GWK60_J02101	758		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	244153	244910	-			QNG14966.1	uncharacterized protein			GWK60_J02101	543		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	244153	244910	-	QNG14966.1			uncharacterized protein			GWK60_J02101	543	180	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	245245	246870	-					BAR1		GWK60_J02123	1626		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	245245	246870	-			QNG14967.1	BAR1	BAR1		GWK60_J02123	1626		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	245245	246870	-	QNG14967.1			BAR1	BAR1		GWK60_J02123	1626	541	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	247790	248251	-							GWK60_J02145	462		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	247790	248251	-			QNG14968.1	uncharacterized protein			GWK60_J02145	462		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	247790	248251	-	QNG14968.1			uncharacterized protein			GWK60_J02145	462	153	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	248652	251336	+							GWK60_J02189	2685		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	248652	251336	+			QNG14970.1	uncharacterized protein			GWK60_J02189	2685		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	248652	251336	+	QNG14970.1			uncharacterized protein			GWK60_J02189	2685	894	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	251688	252996	-							GWK60_J02167	1309		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	251688	252996	-			QNG14969.1	uncharacterized protein			GWK60_J02167	765		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	251688	252996	-	QNG14969.1			uncharacterized protein			GWK60_J02167	765	254	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	254015	255019	-							GWK60_J02211	1005		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	254015	255019	-			QNG14971.1	uncharacterized protein			GWK60_J02211	1005		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	254015	255019	-	QNG14971.1			uncharacterized protein			GWK60_J02211	1005	334	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	255413	256198	+							GWK60_J02233	786		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	255413	256198	+			QNG14972.1	uncharacterized protein			GWK60_J02233	786		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	255413	256198	+	QNG14972.1			uncharacterized protein			GWK60_J02233	786	261	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	256403	257341	-							GWK60_J02255	939		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	256403	257341	-			QNG14973.1	uncharacterized protein			GWK60_J02255	939		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	256403	257341	-	QNG14973.1			uncharacterized protein			GWK60_J02255	939	312	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	258067	259305	-							GWK60_J02277	1239		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	258067	259305	-			QNG14974.1	uncharacterized protein			GWK60_J02277	1239		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	258067	259305	-	QNG14974.1			uncharacterized protein			GWK60_J02277	1239	412	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	260121	262871	+							GWK60_J02299	2751		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	260121	262871	+			QNG14975.1	uncharacterized protein			GWK60_J02299	2751		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	260121	262871	+	QNG14975.1			uncharacterized protein			GWK60_J02299	2751	916	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	263070	266777	-							GWK60_J02321	3708		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	263070	266777	-			QNG14976.1	uncharacterized protein			GWK60_J02321	3708		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	263070	266777	-	QNG14976.1			uncharacterized protein			GWK60_J02321	3708	1235	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	267613	270315	-					AWP1		GWK60_J02343	2703		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	267613	270315	-			QNG14977.1	AWP1	AWP1		GWK60_J02343	2703		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	267613	270315	-	QNG14977.1			AWP1	AWP1		GWK60_J02343	2703	900	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	272122	274623	-							GWK60_J02365	2502		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	272122	274623	-			QNG14978.1	uncharacterized protein			GWK60_J02365	2502		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	272122	274623	-	QNG14978.1			uncharacterized protein			GWK60_J02365	2502	833	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	276588	279299	-							GWK60_J02387	2712		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	276588	279299	-			QNG14979.1	uncharacterized protein			GWK60_J02387	2712		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	276588	279299	-	QNG14979.1			uncharacterized protein			GWK60_J02387	2712	903	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	282842	282914	-							GWK60_J02409	73		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	282842	282914	-				tRNA-Lys			GWK60_J02409	73		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	283150	283593	+							GWK60_J02431	444		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	283150	283593	+			QNG14980.1	uncharacterized protein			GWK60_J02431	444		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	283150	283593	+	QNG14980.1			uncharacterized protein			GWK60_J02431	444	147	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	283751	285394	-							GWK60_J02453	1644		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	283751	285394	-			QNG14981.1	uncharacterized protein			GWK60_J02453	1644		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	283751	285394	-	QNG14981.1			uncharacterized protein			GWK60_J02453	1644	547	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	286266	288800	+					IRC5		GWK60_J02475	2535		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	286266	288800	+			QNG14982.1	IRC5	IRC5		GWK60_J02475	2535		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	286266	288800	+	QNG14982.1			IRC5	IRC5		GWK60_J02475	2535	844	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	289003	289449	-							GWK60_J02497	447		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	289003	289449	-			QNG14983.1	uncharacterized protein			GWK60_J02497	447		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	289003	289449	-	QNG14983.1			uncharacterized protein			GWK60_J02497	447	148	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	289719	290858	-							GWK60_J02519	1140		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	289719	290858	-			QNG14984.1	uncharacterized protein			GWK60_J02519	1140		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	289719	290858	-	QNG14984.1			uncharacterized protein			GWK60_J02519	1140	379	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	291329	294136	-							GWK60_J02541	2808		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	291329	294136	-			QNG14985.1	uncharacterized protein			GWK60_J02541	2808		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	291329	294136	-	QNG14985.1			uncharacterized protein			GWK60_J02541	2808	935	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	294764	295912	-							GWK60_J02563	1149		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	294764	295912	-			QNG14986.1	uncharacterized protein			GWK60_J02563	1149		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	294764	295912	-	QNG14986.1			uncharacterized protein			GWK60_J02563	1149	382	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	296175	296246	+							GWK60_J02585	72		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	296175	296246	+				tRNA-Gln			GWK60_J02585	72		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	296631	296924	+							GWK60_J02607	294		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	296631	296924	+			QNG14987.1	uncharacterized protein			GWK60_J02607	294		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	296631	296924	+	QNG14987.1			uncharacterized protein			GWK60_J02607	294	97	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	297284	299161	+							GWK60_J02629	1878		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	297284	299161	+			QNG14988.1	uncharacterized protein			GWK60_J02629	1878		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	297284	299161	+	QNG14988.1			uncharacterized protein			GWK60_J02629	1878	625	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	299464	299946	-							GWK60_J02651	483		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	299464	299946	-			QNG14989.1	uncharacterized protein			GWK60_J02651	483		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	299464	299946	-	QNG14989.1			uncharacterized protein			GWK60_J02651	483	160	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	300341	301552	+							GWK60_J02673	1212		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	300341	301552	+			QNG14990.1	uncharacterized protein			GWK60_J02673	1212		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	300341	301552	+	QNG14990.1			uncharacterized protein			GWK60_J02673	1212	403	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	301734	303326	-					HOM3		GWK60_J02695	1593		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	301734	303326	-			QNG14991.1	HOM3	HOM3		GWK60_J02695	1593		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	301734	303326	-	QNG14991.1			HOM3	HOM3		GWK60_J02695	1593	530	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	303852	305483	-							GWK60_J02717	1632		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	303852	305483	-			QNG14992.1	uncharacterized protein			GWK60_J02717	1632		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	303852	305483	-	QNG14992.1			uncharacterized protein			GWK60_J02717	1632	543	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	305637	306020	+					PET117		GWK60_J02739	384		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	305637	306020	+			QNG14993.1	PET117	PET117		GWK60_J02739	384		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	305637	306020	+	QNG14993.1			PET117	PET117		GWK60_J02739	384	127	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	306919	308466	+					FCY2		GWK60_J02761	1548		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	306919	308466	+			QNG14994.1	FCY2	FCY2		GWK60_J02761	1548		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	306919	308466	+	QNG14994.1			FCY2	FCY2		GWK60_J02761	1548	515	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	308726	310072	-							GWK60_J02783	1347		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	308726	310072	-			QNG14995.1	uncharacterized protein			GWK60_J02783	1347		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	308726	310072	-	QNG14995.1			uncharacterized protein			GWK60_J02783	1347	448	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	310364	311056	+							GWK60_J02805	693		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	310364	311056	+			QNG14996.1	uncharacterized protein			GWK60_J02805	693		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	310364	311056	+	QNG14996.1			uncharacterized protein			GWK60_J02805	693	230	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	311864	313603	-							GWK60_J02827	1740		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	311864	313603	-			QNG14997.1	uncharacterized protein			GWK60_J02827	1740		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	311864	313603	-	QNG14997.1			uncharacterized protein			GWK60_J02827	1740	579	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	314301	315962	-							GWK60_J02849	1662		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	314301	315962	-			QNG14998.1	uncharacterized protein			GWK60_J02849	1662		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	314301	315962	-	QNG14998.1			uncharacterized protein			GWK60_J02849	1662	553	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	317089	317562	+							GWK60_J02871	474		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	317089	317562	+			QNG14999.1	uncharacterized protein			GWK60_J02871	474		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	317089	317562	+	QNG14999.1			uncharacterized protein			GWK60_J02871	474	157	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	318309	320171	+							GWK60_J02893	1863		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	318309	320171	+			QNG15000.1	uncharacterized protein			GWK60_J02893	1863		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	318309	320171	+	QNG15000.1			uncharacterized protein			GWK60_J02893	1863	620	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	321001	323622	+							GWK60_J02915	2622		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	321001	323622	+			QNG15001.1	uncharacterized protein			GWK60_J02915	2622		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	321001	323622	+	QNG15001.1			uncharacterized protein			GWK60_J02915	2622	873	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	324459	327143	+							GWK60_J02937	2685		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	324459	327143	+			QNG15002.1	uncharacterized protein			GWK60_J02937	2685		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	324459	327143	+	QNG15002.1			uncharacterized protein			GWK60_J02937	2685	894	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	327749	330190	+							GWK60_J02959	2442		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	327749	330190	+			QNG15003.1	uncharacterized protein			GWK60_J02959	2442		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	327749	330190	+	QNG15003.1			uncharacterized protein			GWK60_J02959	2442	813	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	330285	330623	-							GWK60_J02981	339		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	330285	330623	-			QNG15004.1	uncharacterized protein			GWK60_J02981	339		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	330285	330623	-	QNG15004.1			uncharacterized protein			GWK60_J02981	339	112	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	331914	333467	+					ALD5		GWK60_J03003	1554		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	331914	333467	+			QNG15005.1	ALD5	ALD5		GWK60_J03003	1554		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	331914	333467	+	QNG15005.1			ALD5	ALD5		GWK60_J03003	1554	517	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	334583	335591	+							GWK60_J03025	1009		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	334583	335591	+			QNG15006.1	uncharacterized protein			GWK60_J03025	408		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	334583	335591	+	QNG15006.1			uncharacterized protein			GWK60_J03025	408	135	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	336178	336732	+							GWK60_J03047	555		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	336178	336732	+			QNG15007.1	uncharacterized protein			GWK60_J03047	285		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	336178	336732	+	QNG15007.1			uncharacterized protein			GWK60_J03047	285	94	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	336946	339600	-							GWK60_J03069	2655		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	336946	339600	-			QNG15008.1	uncharacterized protein			GWK60_J03069	2655		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	336946	339600	-	QNG15008.1			uncharacterized protein			GWK60_J03069	2655	884	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	340410	342320	-							GWK60_J03091	1911		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	J	CP048239.1	340410	342320	-			QNG15009.1	uncharacterized protein			GWK60_J03091	1911		
